t_us,x_raw,y_raw,z_raw
1301296370,266,29,-31
1301297620,267,29,-35
1301298870,269,31,-32
1301300120,267,30,-32
1301301370,262,31,-31
1301302620,263,31,-31
1301303870,266,29,-38
1301305120,267,28,-33
1301306370,263,27,-37
1301308922,267,28,-37
1301310172,268,30,-33
1301311422,270,30,-29
1301312672,265,30,-31
1301313922,265,31,-30
1301315172,267,29,-33
1301316422,266,29,-34
1301317672,267,27,-33
1301318922,269,26,-38
1301320172,265,25,-30
1301321422,266,28,-33
1301322672,269,28,-28
1301323922,265,27,-35
1301325172,269,28,-32
1301326422,266,28,-35
1301327672,265,27,-34
1301328922,267,27,-35
1301330172,269,27,-30
1301331422,264,26,-34
1301332672,264,25,-34
1301333922,263,27,-34
1301335172,265,27,-30
1301336422,266,27,-37
1301337672,267,27,-31
1301338922,264,26,-34
1301341331,264,31,-36
1301342581,267,33,-31
1301343831,268,29,-31
1301345081,267,30,-38
1301346331,267,31,-30
1301347581,267,38,-36
1301348831,266,29,-34
1301350081,265,29,-35
1301351331,264,28,-35
1301352581,265,30,-34
1301353831,265,28,-35
1301355081,268,22,-35
1301356331,268,27,-37
1301357581,264,27,-32
1301358831,269,31,-35
1301360081,267,28,-36
1301361331,266,24,-28
1301362581,265,27,-34
1301363831,266,29,-33
1301365081,266,27,-39
1301366331,266,27,-37
1301367581,264,29,-39
1301368831,265,29,-37
1301370081,266,26,-39
1301371331,266,27,-33
1301373834,266,27,-37
1301375084,271,26,-34
1301376334,271,29,-31
1301377584,268,27,-36
1301378834,271,28,-34
1301380084,270,29,-32
1301381334,268,25,-35
1301382584,265,30,-35
1301383834,267,24,-36
1301385084,267,29,-34
1301386334,264,24,-31
1301387584,265,28,-34
1301388834,264,30,-30
1301390084,269,30,-31
1301391334,269,28,-39
1301392584,263,30,-33
1301393834,262,28,-32
1301395084,270,24,-32
1301396334,267,24,-30
1301397584,267,27,-31
1301398834,266,33,-35
1301400084,265,28,-31
1301401334,263,25,-35
1301402584,268,25,-37
1301403834,265,30,-37
1301406431,270,27,-35
1301407681,265,30,-35
1301408931,268,31,-30
1301410181,267,27,-30
1301411431,266,30,-38
1301412681,273,26,-31
1301413931,267,29,-37
1301415181,269,28,-35
1301416431,268,29,-33
1301417681,267,26,-29
1301418931,265,26,-42
1301420181,264,30,-36
1301421431,264,30,-39
1301422681,266,29,-34
1301423931,269,24,-27
1301425181,268,30,-32
1301426431,264,28,-38
1301427681,264,32,-35
1301428931,264,27,-31
1301430181,266,26,-31
1301431431,262,30,-32
1301432681,262,26,-30
1301433931,262,27,-38
1301435181,263,31,-34
1301436431,270,27,-33
1301438865,267,27,-36
1301440115,266,30,-29
1301441365,266,30,-33
1301442615,267,29,-34
